EGAP(s),# EGAPs fixed,# Hits on fixed code,Energy (before fix),Energy (after fix),Time (before fix),Time (after fix),# Total method calls,# Diff. method calls
Recycle,1,2,27874.61544900002,49574.0,28785.184457999996,49546.0,777,243
Recycle,1,2,27937.230393000005,49580.0,28903.59945949999,49574.0,777,243
Recycle,1,2,28085.51195249997,49591.0,28983.171165500004,49574.0,777,243
Recycle,1,2,28126.340015999995,49593.0,29025.988311999972,49576.0,777,243
Recycle,1,2,28152.24070249998,49646.0,29149.84541349999,49580.0,777,243
Recycle,1,2,28160.29897499999,49679.0,29227.069155499972,49584.0,777,243
Recycle,1,2,28483.632598499993,49692.0,29491.482037999987,49589.0,777,243
Recycle,1,2,28496.86571150002,49781.0,29570.867635999984,49629.0,777,243
Recycle,1,2,28748.741960000018,49813.0,32961.009204499984,49781.0,777,243
Recycle,1,2,35867.895640999996,59813.0,34334.89031549997,59810.0,2569,215
Recycle,1,2,36323.67759449999,59816.0,34726.69391199996,59833.0,2569,215
Recycle,1,2,36415.37630200002,59836.0,35955.05632000001,59869.0,2569,215
Recycle,1,2,36783.384492000005,59841.0,35996.034563999994,59884.0,2569,215
Recycle,1,2,36842.55229349999,59862.0,36437.11525150001,59897.0,2569,215
Recycle,1,2,36996.642225000025,59910.0,36647.191683499994,59914.0,2569,215
Recycle,1,2,37036.331191499965,59916.0,36711.2662515,59924.0,2569,215
Recycle,1,2,37174.73635599998,59920.0,36808.60935049997,59966.0,2569,215
Recycle,1,2,37206.99668049998,59937.0,36905.88016150002,60016.0,2569,215
Recycle,1,2,37242.584113000004,59980.0,36928.350563499975,60022.0,2569,215
Recycle,1,2,37295.67511599996,60012.0,36991.705855999986,60025.0,2569,215
Recycle,1,2,37354.8401695,60017.0,37077.10295350002,60027.0,2569,215
Recycle,1,2,37385.12511150003,60028.0,37198.57693050001,60027.0,2569,215
Recycle,1,2,37458.459803500016,60029.0,37496.971407499994,60030.0,2569,215
Recycle,1,2,37473.77604750001,60063.0,37609.878676999986,60108.0,2569,215
Recycle,1,2,37569.369685,60066.0,37617.296552999964,60114.0,2569,215
Recycle,1,2,37786.474907,60067.0,37828.2059805,60117.0,2569,215
Recycle,1,2,37918.51896700004,60110.0,37882.42055599999,60117.0,2569,215
Recycle,1,2,37945.671101000014,60118.0,37938.342292999965,60123.0,2569,215
Recycle,1,2,38138.804069499995,60121.0,37984.10039749999,60126.0,2569,215
Recycle,1,2,38171.5595715,60123.0,38023.91983999998,60127.0,2569,215
Recycle,1,2,38324.15142400002,60128.0,38049.46516300002,60132.0,2569,215
Recycle,1,2,38395.02142800002,60212.0,38093.87590899999,60182.0,2569,215
Recycle,1,2,38527.246296999976,60307.0,38116.133572000035,60190.0,2569,215
Recycle,1,2,38665.02067700002,60312.0,38420.34553649997,60192.0,2569,215
Recycle,1,0,16585.49503700001,31483.0,22531.414785000015,43089.0,31,8
Recycle,1,0,24804.964400999997,43177.0,22930.77358150001,43160.0,31,8
Recycle,1,0,25146.492055499984,43200.0,25059.603141000003,43167.0,31,8
Recycle,1,0,25191.7356445,43206.0,25326.942587999987,43171.0,31,8
Recycle,1,0,25246.407586499994,43210.0,25330.145043000004,43188.0,31,8
Recycle,1,0,25294.062475999996,43217.0,25358.698237,43256.0,31,8
Recycle,1,0,25311.264512499987,43220.0,25375.98266549998,43265.0,31,8
Recycle,1,0,25353.172790000004,43256.0,25438.48468800002,43307.0,31,8
Recycle,1,0,25386.607043500007,43260.0,25482.53458149999,43315.0,31,8
Recycle,1,0,25434.695866999995,43260.0,25597.638979499985,43318.0,31,8
Recycle,1,0,25484.967158499992,43302.0,25634.964661000016,43318.0,31,8
Recycle,1,0,25505.22824549999,43313.0,25653.918625499995,43357.0,31,8
Recycle,1,0,25598.871750500002,43315.0,25698.282484500018,43362.0,31,8
Recycle,1,0,25646.870914499974,43358.0,25734.250875499987,43363.0,31,8
Recycle,1,0,25689.532987999995,43361.0,25981.110470000007,43370.0,31,8
Recycle,1,0,25914.070075,43371.0,25998.137279,43383.0,31,8
Recycle,1,0,26048.5345865,43400.0,26172.719804999997,43389.0,31,8
Recycle,1,0,26051.862724000013,43408.0,26190.62933500002,43390.0,31,8
Recycle,1,0,26058.060382499993,43411.0,26238.65540599999,43412.0,31,8
Recycle,1,0,26097.272526999994,43464.0,26262.295229999992,43465.0,31,8
Recycle,1,0,26183.204057000003,43474.0,26364.751566499992,43475.0,31,8
Recycle,1,0,26196.532831999994,43493.0,26477.369415999998,43507.0,31,8
Recycle,1,0,26243.55778999999,43495.0,26783.161625499986,43511.0,31,8
Recycle,1,0,26322.52465450001,43552.0,26828.560082499996,43615.0,31,8
Recycle,1,0,27127.066451500006,43560.0,27409.97987499999,43905.0,31,8
Recycle,1,0,23155.69677700001,40144.0,22751.22234399999,40263.0,76,8
Recycle,1,0,23829.808765999987,40262.0,23371.990616,40304.0,76,8
Recycle,1,0,23939.67264450001,40263.0,24501.94734549999,40346.0,76,8
Recycle,1,0,24282.712151000018,40265.0,24513.282174999982,40347.0,76,8
Recycle,1,0,24349.77767949998,40359.0,24557.777108000002,40372.0,76,8
Recycle,1,0,24404.630952000014,40406.0,24676.889268,40431.0,76,8
Recycle,1,0,24449.132950499996,40411.0,25014.966592500004,40453.0,76,8
Recycle,1,0,24465.94117950001,40424.0,25175.60946900001,40456.0,76,8
Recycle,1,0,24578.93832000001,40442.0,25333.177373500006,40471.0,76,8
Recycle,1,0,24616.5815435,40457.0,25338.324602499983,40472.0,76,8
Recycle,1,0,24748.3538715,40470.0,25540.02490000001,40500.0,76,8
Recycle,1,0,24782.08457799999,40490.0,25665.730035000004,40554.0,76,8
Recycle,1,0,25005.52572599999,40497.0,25813.4624325,40554.0,76,8
Recycle,1,0,25355.606777999987,40565.0,26333.897448000007,40557.0,76,8
Recycle,1,0,25569.06656699999,40602.0,27162.89252299999,40600.0,76,8
Recycle,1,0,25652.069702499997,40658.0,27608.121799999997,40692.0,76,8
Recycle,1,0,27015.10910999999,40701.0,27738.16496150001,40743.0,76,8
Recycle,1,0,27220.431983500002,40754.0,27925.594933499993,40801.0,76,8
Recycle,1,0,27594.63093950001,40796.0,27976.728342000028,40805.0,76,8
Recycle,1,0,27817.682785999994,40839.0,28339.94353,40809.0,76,8
Recycle,1,0,27929.644212000025,40856.0,28345.833723000003,40888.0,76,8
Recycle,1,0,27997.21885549999,40866.0,28399.928159000017,40893.0,76,8
Recycle,1,0,28253.360149000007,40872.0,28558.68476750001,40958.0,76,8
Recycle,1,0,28487.18100100001,40970.0,28681.28591499999,40966.0,76,8
Recycle,1,0,29794.347274500004,40998.0,29099.465108499997,41060.0,76,8
Recycle,1,0,23903.061688999984,41780.0,24335.47383000002,41576.0,57,8
Recycle,1,0,24223.15814500002,41878.0,24422.76659699999,41757.0,57,8
Recycle,1,0,24795.78738750002,41906.0,24545.3024405,41772.0,57,8
Recycle,1,0,26641.7337545,41968.0,24692.929349500017,41775.0,57,8
Recycle,1,0,26794.311115500008,42011.0,24810.696345499997,41861.0,57,8
Recycle,1,0,26877.30721950002,42071.0,25103.415491499996,41919.0,57,8
Recycle,1,0,26883.482741499985,42072.0,25210.41188999998,42064.0,57,8
Recycle,1,0,26963.10408449999,42166.0,27144.959032000006,42154.0,57,8
Recycle,1,0,26979.047143499993,42172.0,27475.284984000005,42156.0,57,8
Recycle,1,0,27027.058912999986,42210.0,27497.524825499997,42159.0,57,8
Recycle,1,0,27142.168809000013,42218.0,27620.816820499993,42162.0,57,8
Recycle,1,0,27241.453189499985,42252.0,28021.682624500012,42197.0,57,8
Recycle,1,0,27328.136547000013,42257.0,28084.290584500013,42218.0,57,8
Recycle,1,0,27704.420627000003,42260.0,28272.05719700001,42256.0,57,8
Recycle,1,0,27854.536746500016,42261.0,28325.607906,42260.0,57,8
Recycle,1,0,27900.386518000007,42261.0,28339.096511000007,42270.0,57,8
Recycle,1,0,27974.14743599999,42270.0,28349.93243649999,42303.0,57,8
Recycle,1,0,28006.788628000013,42278.0,28424.883569499973,42310.0,57,8
Recycle,1,0,28044.92455700001,42306.0,28529.87951799998,42313.0,57,8
Recycle,1,0,28163.49304299998,42359.0,28614.194350999987,42314.0,57,8
Recycle,1,0,28175.141381,42364.0,28774.1261565,42357.0,57,8
Recycle,1,0,28474.433797999995,42403.0,28832.19062550003,42358.0,57,8
Recycle,1,0,28512.57458249998,42462.0,29028.394735999987,42366.0,57,8
Recycle,1,0,28540.107101500005,42504.0,29166.765296500005,42373.0,57,8
Recycle,1,0,28867.89293100001,42612.0,29269.649655000016,42495.0,57,8
Recycle,1,0,25829.451067499995,49277.0,26288.094812,49171.0,63,8
Recycle,1,0,26259.536113499995,49280.0,26632.77758149999,49284.0,63,8
Recycle,1,0,26308.1067055,49343.0,26777.70116550002,49377.0,63,8
Recycle,1,0,26684.476005499997,49383.0,26826.927031999996,49392.0,63,8
Recycle,1,0,26754.913434999984,49391.0,27085.005677999998,49432.0,63,8
Recycle,1,0,27032.79655400001,49475.0,28281.383826499994,49508.0,63,8
Recycle,1,0,28798.537801500017,49482.0,28502.12865599999,49588.0,63,8
Recycle,1,0,28990.41249349999,49482.0,29450.848010999987,49594.0,63,8
Recycle,1,0,29214.535540000008,49490.0,29498.75488049999,49600.0,63,8
Recycle,1,0,29394.83179949998,49491.0,29658.403239499992,49687.0,63,8
Recycle,1,0,29419.018128499993,49491.0,29709.25727950001,49786.0,63,8
Recycle,1,0,29444.726211999983,49673.0,29762.022024499987,49793.0,63,8
Recycle,1,0,29518.144723000016,49687.0,29831.6591095,49882.0,63,8
Recycle,1,0,29649.840578999985,49693.0,29916.523604,49883.0,63,8
Recycle,1,0,29862.085948000004,49713.0,29951.444621500017,49895.0,63,8
Recycle,1,0,29926.599521499997,49794.0,30163.652284500015,49905.0,63,8
Recycle,1,0,29973.783235000017,49834.0,30217.008345,49927.0,63,8
Recycle,1,0,30114.84846099999,49888.0,30218.6609225,49983.0,63,8
Recycle,1,0,30203.335374500002,49891.0,30263.663105000014,49985.0,63,8
Recycle,1,0,30278.116227999995,49891.0,30369.346996999993,49987.0,63,8
Recycle,1,0,30376.148625000005,49892.0,30395.73158400001,49996.0,63,8
Recycle,1,0,30445.94327849999,49989.0,30525.833894000018,50089.0,63,8
Recycle,1,0,30460.203842000003,49992.0,30887.01266749999,50132.0,63,8
Recycle,1,0,30519.73065349999,50086.0,30892.309405499997,50186.0,63,8
Recycle,1,0,31091.790554000003,50099.0,31153.305409499997,50191.0,63,8
Recycle,1,0,31366.564037,59720.0,31630.97996399996,59703.0,72,8
Recycle,1,0,32196.28216699998,59831.0,31827.19068099999,59983.0,72,8
